128	123268	169215	145132	156858
129	13150	17048	14229	15707
130	13866	17757	15120	16434
131	8197546	8200695	8198264	8200120
132	83329	97668	87285	91473
133	35115	43368	38109	40175
134	21203	23164	21668	22678
135	19921	22580	20499	21747
136	12214225	14620118	13091618	13659288
137	11043301	11093989	11063183	11075672
138	1008	1075	1009	1073
139	3418	3617	3435	3604
140	239	255	239	255
141	602025	1706990	982698	1268721
142	1385	1513	1391	1508
143	2572256	2778089	2645770	2701947
144	29952	35391	31607	33593
145	8585618	10073507	9203457	9567190
146	1374	1517	1385	1493
147	3648	3958	3701	3849
148	1294	1663	1332	1630
149	856	956	867	952
150	129899	143126	134640	138978
151	9988	14559	11842	13245
152	22273	28498	23525	25408
153	438	479	438	475
154	100222378	111627357	104484154	107262937
155	49369	55933	51766	54020
156	1930	2651	2195	2499
157	4159280	4477381	4277034	4361021
158	20669	22994	21437	22357
159	6749	7149	6838	7118
160	16287	18722	16990	18046
161	100418	109290	103913	106488
162	9572	12333	10846	11806
163	12058	14750	12674	13537
164	14752730	17624807	15883104	16520758
165	11492	16837	13106	15486
166	144	165	144	165
167	433	453	433	453
168	414	474	415	470
169	354	405	359	405
170	1950	1998	1954	1997
171	3551717	5752552	4248236	4789082
172	1574973	3826300	2363226	2937363
173	282	390	296	383
174	2398	2748	2476	2691
175	13676	14987	13825	14529
176	636	681	637	679
177	1426	1728	1486	1693
178	21993	23778	22405	23315
179	1013	1270	1057	1242
180	581853	982865	738235	826282
181	20843	23103	21419	22475
182	2803	3014	2823	2994
183	4265	4529	4291	4522
184	2695	3066	2727	2990
185	138	155	140	155
186	483	580	484	580
187	41	69	48	69
188	37622	43528	38782	40831
189	627	672	629	670
190	319	334	319	334
191	124967	332431	229323	277179
192	33440	63031	42323	51542
193	45788	52837	48314	51014
194	15098	15867	15184	15655
195	2170	2309	2177	2303
196	63122	65492	63630	65034
197	25089	45961	34501	44194
198	110081	120552	114908	117852
199	70295	99299	78295	85773
200	156	173	156	172
201	21356	25557	22531	24188
202	8451	9022	8522	8967
203	3970	4646	4175	4507
204	668	725	668	725
205	636	676	636	674
206	92392	102755	95930	99144
207	972	1105	983	1097
208	7924	8354	7944	8302
209	467	484	468	484
210	3510	3879	3555	3826
211	458	498	458	498
212	47203	49490	47885	49084
213	3578	3805	3596	3783
214	644	825	721	818
215	12977545	16284969	14204669	15002170
216	18950	21108	19647	20552
217	2655	2804	2674	2788
218	91	144	101	140
219	116745	133385	120947	125874
220	94827	156204	118333	132577
221	23551	27663	24157	25644
222	3212	3545	3291	3488
223	7713	8084	7764	8071
224	1142	1236	1142	1230
225	764	856	768	853
226	1697889	4109917	2578092	3147732
227	1190391	1230727	1205335	1217456
228	99892	125668	103019	114473
229	21821144	26115996	23486170	24485157
230	8239	8807	8267	8774
231	1876	2052	1908	2050
232	724	768	725	767
233	319	329	319	327
234	6363	7956	6976	7583
235	10213659	11258516	10635911	10850841
236	152211	191094	167756	177456
237	19436	22098	20101	21326
238	6597	8786	7389	8302
239	81845302	86338152	83539684	84567913
240	49895620	55359980	52127528	53511861
241	5103	6822	5676	6593
242	4404	5132	4512	4909
243	14500	22570	16529	19289
244	4032	4193	4045	4189
245	578479	584019	580402	582495
246	1031	1103	1036	1101
247	5744	6523	5918	6335
248	21240899	26355609	23179605	24372509
249	22613	23492	22789	23279
250	584	625	586	623
251	13000	13592	13031	13521
252	4292	4730	4337	4663
253	3120081	3174020	3143737	3159448
254	325	359	325	354
255	16720	26001	19812	22878
256	13830	14910	14155	14743
257	4938	5435	5027	5363
258	391	416	391	416
259	484175	528154	499588	512973
